Name;Author;Price;About
Name;Author;Price;About
Лонсдейл Кэрри: Прошлым летом;Кэрри Лонсдейл;91 ₽;91 ₽;Элла Скай помнит каждого человека, у которого брала интервью, и каждого мимолетного знакомого. Но чего она вспомнить не может — так это своей беременности и автомобильной аварии, которая якобы лишила ее ребенка. Однажды Элла просто очнулась в больнице, а у постели сидел Дэмьен, ее муж, опустошенный произошедшим.
Бишоп Эйвери: Школа безумия;Эйвери Бишоп;103 ₽;103 ₽;Грейс Фармер хочет добавить вас в жертвы.
Проглядова Олеся Константиновна: Nomen nescio. Имя неизвестно;Олеся Проглядова;91 ₽;91 ₽;«Nomen nescio. Имя неизвестно» — книга-загадка, книга-борьба. Эн не помнит, как ее зовут, но знает, за что стоит сражаться.
Дж. Э. Шеверс: Хрустальные Звёзды;Русское фэнтези;нет данных;нет данных;Книга - победитель литературного конкурса, организованного издательством «Эксмо» и литературным порталом Author.today (около 400 000 зарегистрированных пользователей).
Леви Дебора: Человек, который видел все;Дебора Леви;91 ₽;91 ₽;Новая удивительная история от автора романов «Горячее молоко» и «Заплыв домой», роман, вошедший в Букеровский список 2019 года.
Кепнес Кэролайн: Провидение;Кэролайн Кепнес;103 ₽;103 ₽;Хлоя и Джон. Их свело ни на что не похожее чувство - словно тонкая мембрана между подростковой дружбой и истинной любовью… А потом Джон пропал. И вернулся лишь через четыре года. Чудаковатый подросток превратился в сильного красавца. И еще во что-то… Тот, кто держал его все это время в искусственной коме, заложил в юношу непонятную силу, смертельно опасную для всех вокруг. Не успев возвратиться, он вынужден бежать. И искать ответ на вопрос: что он такое и почему с ним это сделали? Хлоя идет по следу Джона и уверена, что его можно исцелить. Но все становится только хуже…
Линч Скотт: Хитрости Локка Ламоры;Скотт Линч;823 ₽;823 ₽;«Свежо, оригинально, крайне занимательно — и великолепно исполнено» (Джордж Мартин). Однажды Воровской наставник явился к отцу Цеппи, Безглазому священнику храма Переландро, чтобы сбыть с рук несносного мальчишку Локка Ламору. Ведь Ламора, хоть и прирожденный вор, был воистину несносен, и для его исключительных талантов город-государство Каморр — прорезанное десятками каналов, раскинувшееся на множестве островов под сенью исполинских башен из стекла Древних — могло оказаться тесным. С течением лет Локку и его Благородным Канальям сходит с рук многое, вплоть до нарушения Тайного уговора, регулирующего всю жизнь Путных людей Каморра, но вот в закулисье преступного сообщества появляется Серый король — безжалостный, невидимый и неуязвимый убийца, — внося свои коррективы в очередную гениальную аферу Локка…
Фаулер Тереза Энн: Хорошее соседство;Тереза Энн Фаулер;114 ₽;114 ₽;«Восхитительно… Я прочла эту книгу за один присест». — Джоди Пиколт, автор бестселлера «Уроки милосердия»
Сайн Ш.: На минном поле расцвели сады. Сила нежных стихов;Поэты нашего времени. Лирика, меняющая сердца;600 ₽;600 ₽;Вторая книга стихотворений от автора бестселлера Шахназ Сайн. Человеческое нутро, считает Шахназ, это минное поле, усыпанное терзающими сомнениями, страхом, гневом, и всем, что его ломает. Но минное поле расцветет, как только мины будут найдены и обезврежены нашими руками, стараниями и верой: в первую очередь верой в себя, в свои силы и в свои возможности. Эту истину Шахназ Сайн передала простыми жизненными стихами и цитатами. Придет время, когда расцветет сломленное сердце, и распустятся цветы на оголенных ветках души человека, и поднимется солнце над когда-то минным полем, отныне покрытым бескрайними садами красных роз. Книга сопровождается авторскими иллюстрациями, созданными Шахназ специально для этого издания
Шилдс Бриана: Заклинатель костей;Бриана Шилдс;114 ₽;114 ₽;1. Роман, за который бились крупнейшие издательства России. Выигран аукцион на издание дилогии — «Заклинатель костей» и «Похититель костей».
Д'Апри Суини Синтия: Хорошая компания;Синтия Д'Апри Суини;114 ₽;114 ₽;«Хорошая компания» повествует об отношениях, которые мы строим всю жизнь – тех, что одновременно ранят и исцеляют нас.
Бурден Франсуаза: Чужой выбор;Франсуаза Бурден;114 ₽;114 ₽;«Ревность, любовь и снежная зима, что отрезала их от остального мира».
Уолш Хлоя: Удержать 13-го;Уолш Хлоя;794 ₽;794 ₽;Удержать сложнее, чем завоевать, и знают об этом не только спортсмены. Новой ученице удалось покорить главную знаменитость Томмен-колледжа — восходящую звезду регби Джонни Кавану. Но можно ли удержать рядом парня, для которого на первом месте всегда была карьера? Восстановившись после операции, Джонни вновь приступает к тренировкам. Его мечта — играть за национальную сборную. Он готовился к этому с детства, однако, кажется, все равно недооценил ответственность и нагрузки. К тому же на другой чаше весов — девушка с полуночно-синими глазами… Жизнь Шаннон Линч никогда не была спокойной, но теперь ситуация накалилась до предела. Конфликты в семье не прекращаются, а возвращение старшего брата, покинувшего родных несколько лет назад, лишь ухудшает положение. Шаннон ищет спасения у Джонни и все больше сближается с ним, однако она понимает: скоро важные игры, а значит, неизбежно расставание… Впервые на русском!
Семенова М.: Братья. Книга 3. Завтрашний царь. Том 2;Миры Марии Семеновой;694 ₽;694 ₽;Долгожданное продолжение истории о братьях, начатой романами «Тайный воин» и «Царский витязь»! Второй десяток лет длится зима, постигшая мир после космической катастрофы. Всё свирепее метели, всё беспощаднее морозы, но люди живут, путешествуют, отстаивают каждый свою правду… Линии судеб героев неуклонно указывают на город Шегардай. Сюда прибывает официальный престолонаследник: успешное правление в городе, где когда-то властвовал его отец, должно открыть юноше дорогу к царскому трону. На праздник стекаются самые разные люди, в том числе потешники-скоморохи. Кто заподозрит, что молодой витязь, охраняющий лицедеев, тоже имеет право на державный венец? Хромой раб, творец удивительных песен, решается на побег. За стенами Шегардая у него остались недоделанные дела, неотданные долги… А бесконечными морозными пустошами бегут на лыжах два тайных воина. Они везут на север запечатанное письмо. Быть может, в нём приказ о расправе над семьёй их сгинувшего наставника?
Мур Лиз: Алая река;Лиз Мур;103 ₽;103 ₽;БЕСТСЕЛЛЕР NEW YORK TIMES
Дженнифер Робсон: Письма из Лондона;Дженнифер Робсон;114 ₽;114 ₽;Журналистка из Нью-Йорка Руби Саттон приезжает в Лондон в 1940 году. Для нее это карьерный шанс — непредвзято освещать войну в Европе. Руби сталкивается с неоднозначной реакцией — она иностранка, женщина, и далеко не всех устраивает ее присутствие в гуще событий.
Арден Лия: Во главе кошмаров;Лия Арден;662 ₽;662 ₽;За один вечер Кассия лишилась дома, выбора и прошлой жизни. Теперь ее место в Палагеде. И пока глава Дома Раздора просит помощи, другие шесть архонтов видят в ней досадную помеху, которая в состоянии разрушить их планы на обретение желанного могущества. Одновременно с этим Микель оказывается втянут в гущу политических событий, где пытается склонить царей к перемирию между мирами и разобраться, насколько реально пророчество сивилл о гибели всей Даории от рук Кассии.
Макнил Элизабет: Цирк чудес;Элизабет Макнил;103 ₽;103 ₽;Новый роман от автора «Мастерской кукол»!
Джексон Тиффани: Никто не видел Мандей;Тиффани Джексон;103 ₽;103 ₽;Это история исчезновения моей лучшей подруги. История того, как никто, кроме меня, не заметил этого исчезновения. И как никому не было до этого дела, пока ее не нашли… год спустя.
Яррос Ребекка: Четвертое крыло;Яррос Ребекка;999 ₽;999 ₽;«Четвертое крыло» - абсолютный бестселлер молодежной литературы, мгновенно ворвавшийся в ТОП-5 самых продаваемых книг на Amazon среди всех категорий. Роман Ребекки Яррос вышел в мае 2023 года и взорвал чарты книжных рейтингов, получил более 140 000 оценок на GoodReads за месяц продаж и приобрел миллионы поклонников.
Рот Вероника: Судьба;Рот Вероника;91 ₽;91 ₽;Их судьбы определены с рождения. Быть предателем. Победить в войне. Пасть от руки тирана… Но что, если судьба — проклятие? И можно ли действовать ей вопреки?
Тунсю Мосян: Благословение небожителей. Том 6;Тунсю Мосян;1 250 ₽;1 250 ₽;СКАЗАТЬ ПО ПРАВДЕ, В ЭТОМ МИРЕ НЕТ БОГОВ.
Роберт Джордан: Новая весна;Роберт Джордан;928 ₽;928 ₽;Разгар Айильской войны. Айильцы впервые за многие годы пересекли Хребет Мира, отделяющий их родину от остальных стран континента. Цель вторжения — покарать короля Кайриэна за святотатство. У стен Тар Валона, оплота могущественных Айз Седай, разыгрывается кровавая битва. Одна из Айз Седай, обладающая способностью Предсказания, сообщает о рождении на склонах Драконовой горы младенца, которому суждено стать Драконом Возрожденным, будущим сокрушителем власти Темного. Эта новость пока известна только Престолу Амерлин и двум девушкам, Морейн и Суан, свидетельницам откровения предсказательницы. Теперь их задача — во что бы то ни стало найти младенца, пока силы Темного не сделали это раньше… Роман предваряет знаменитую эпопею «Колесо Времени», описывая события, произошедшие за двадцать лет до начала тех, о которых повествуют основные романы цикла.
Киз Дэниел: Элджернон, Чарли и я;Дэниел Киз;103 ₽;103 ₽;Дэниел Киз — знаменитый американский писатель, исследователь глубин человеческого разума, которому удалось как никому другому раскрыть перед читателем тайны личности и психологии. «Элджернон, Чарли и я» — история его жизни, творческого пути, история возникновения героев, которые теперь стали известны всему миру. Увлекательное путешествие писателя, столкнувшегося с множеством препятствий, которые стояли между ним и литературной карьерой, захватывает с первых строк. В этом романе каждый сможет узнать, какие жизненные впечатления, знакомства, случайности и привели в конце концов Киза к созданию одного из самых известных романов XX века «Цветы для Элджернона».
Дашкевич Виктор: Императорский Див. Колдун Российской империи;Виктор Дашкевич;642 ₽;642 ₽;Вторая книга цикла о расследованиях графа Аверина.
Уолш Хлоя: Зацепить 13-го;Уолш Хлоя;794 ₽;794 ₽;Ее жизнь — борьба. Борьба за каждую спокойную минуту без насмешек и издевательств. Его жизнь — борьба. Борьба с соперниками на поле и с болью, о которой никто не должен знать. На первый взгляд, Шаннон и Джонни настолько разные, насколько вообще можно себе представить. Жертва школьного буллинга и домашнего насилия, Шаннон никогда не чувствует себя в безопасности и хочет только одного — стать невидимкой. Перспективный спортсмен и любимый сын обеспеченных родителей, Джонни пользуется в школе особыми привилегиями и привык ко всеобщему вниманию и восхищению. Их дороги никогда бы не пересеклись, если бы не несчастный случай. А может, наоборот — счастливый?.. Впервые на русском!
Сандерсон Брендон: Юми и укротитель кошмаров;Брендон Сандерсон;1 413 ₽;1 413 ₽;В стране, где родилась Юми, земля под ногами раскалена, а растения парят в воздухе. Юми — повелительница духов, ее удел — самоотверженное служение, каждый ее день состоит из множества утонченных ритуалов. Город, где живет Никаро, окружен таинственной Пеленой, из которой приходят кошмары — чудовищные сущности, питающиеся людскими переживаниями. Никаро — художник, способный с помощью живописи укрощать кошмары, лишать их убийственной силы. Однажды духи обращаются к Юми с просьбой освободить их, обещая, что в этом ей поможет герой. Но не предупреждают, что с героем — Никаро — придется обменяться телами! И как в омут с головой броситься в чужую реальность, полную загадок, тайн и чудес. С цветными иллюстрациями фэнтезийной художницы Алии Чэнь! Впервые на русском!
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;906 ₽;906 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Ускова О.: Раша;Трансгуманизм fiction;799 ₽;799 ₽;Иерусалим-Москва-Донецк - огненная ось нашего времени. В этом треугольнике проходят глобальное обновление весь реальный мир и герои романа, из их становления и соткана эта книга. Любовь и Предательство, Искушение деньгами и Властью, Право на смерть и Право на жизнь. Что перед нами - публицистика с элементами мистики или фэнтези про мир, вооруженный воюющим Искусственным Интеллектом и занавешенный документальными событиями? Всё, что описано в книге, происходит сегодня непосредственно с каждым из нас. И всем приходится отвечать на вопросы: - кто я? - с кем я? - где моя Родина? - зачем я на этой Земле? Герои книги нашли свои ответы... "О чём-то из сегодняшних событий мы постараемся забыть в будущем, но роман «Раша» напомнит, какими мы были, как думали, чего боялись, на что надеялись. В этом его главная ценность."
Греймс Джульет: Семь или восемь смертей Стеллы Фортуны;Джульет Греймс;106 ₽;106 ₽;Для Стеллы Фортуны смерть всегда была частью жизни. Ее детство полно странных и опасных инцидентов — такие банальные вещи, как приготовление ужина или кормление свиней неизбежно приводят к фатальной развязке. Даже ее мать считает, что на Стелле лежит какое-то проклятие. Испытания делают девушку крепкой и уверенной, и свой волевой характер Стелла использует, чтобы защитить от мира и жестокого отца младшую, более чувствительную сестренку Тину.
Лонсдейл Кэрри: Прошлым летом;Кэрри Лонсдейл;91 ₽;91 ₽;Элла Скай помнит каждого человека, у которого брала интервью, и каждого мимолетного знакомого. Но чего она вспомнить не может — так это своей беременности и автомобильной аварии, которая якобы лишила ее ребенка. Однажды Элла просто очнулась в больнице, а у постели сидел Дэмьен, ее муж, опустошенный произошедшим.
Бишоп Эйвери: Школа безумия;Эйвери Бишоп;103 ₽;103 ₽;Грейс Фармер хочет добавить вас в жертвы.
Проглядова Олеся Константиновна: Nomen nescio. Имя неизвестно;Олеся Проглядова;91 ₽;91 ₽;«Nomen nescio. Имя неизвестно» — книга-загадка, книга-борьба. Эн не помнит, как ее зовут, но знает, за что стоит сражаться.
Дж. Э. Шеверс: Хрустальные Звёзды;Русское фэнтези;нет данных;нет данных;Книга - победитель литературного конкурса, организованного издательством «Эксмо» и литературным порталом Author.today (около 400 000 зарегистрированных пользователей).
Леви Дебора: Человек, который видел все;Дебора Леви;91 ₽;91 ₽;Новая удивительная история от автора романов «Горячее молоко» и «Заплыв домой», роман, вошедший в Букеровский список 2019 года.
Кепнес Кэролайн: Провидение;Кэролайн Кепнес;103 ₽;103 ₽;Хлоя и Джон. Их свело ни на что не похожее чувство - словно тонкая мембрана между подростковой дружбой и истинной любовью… А потом Джон пропал. И вернулся лишь через четыре года. Чудаковатый подросток превратился в сильного красавца. И еще во что-то… Тот, кто держал его все это время в искусственной коме, заложил в юношу непонятную силу, смертельно опасную для всех вокруг. Не успев возвратиться, он вынужден бежать. И искать ответ на вопрос: что он такое и почему с ним это сделали? Хлоя идет по следу Джона и уверена, что его можно исцелить. Но все становится только хуже…
Линч Скотт: Хитрости Локка Ламоры;Скотт Линч;823 ₽;823 ₽;«Свежо, оригинально, крайне занимательно — и великолепно исполнено» (Джордж Мартин). Однажды Воровской наставник явился к отцу Цеппи, Безглазому священнику храма Переландро, чтобы сбыть с рук несносного мальчишку Локка Ламору. Ведь Ламора, хоть и прирожденный вор, был воистину несносен, и для его исключительных талантов город-государство Каморр — прорезанное десятками каналов, раскинувшееся на множестве островов под сенью исполинских башен из стекла Древних — могло оказаться тесным. С течением лет Локку и его Благородным Канальям сходит с рук многое, вплоть до нарушения Тайного уговора, регулирующего всю жизнь Путных людей Каморра, но вот в закулисье преступного сообщества появляется Серый король — безжалостный, невидимый и неуязвимый убийца, — внося свои коррективы в очередную гениальную аферу Локка…
Фаулер Тереза Энн: Хорошее соседство;Тереза Энн Фаулер;114 ₽;114 ₽;«Восхитительно… Я прочла эту книгу за один присест». — Джоди Пиколт, автор бестселлера «Уроки милосердия»
Сайн Ш.: На минном поле расцвели сады. Сила нежных стихов;Поэты нашего времени. Лирика, меняющая сердца;600 ₽;600 ₽;Вторая книга стихотворений от автора бестселлера Шахназ Сайн. Человеческое нутро, считает Шахназ, это минное поле, усыпанное терзающими сомнениями, страхом, гневом, и всем, что его ломает. Но минное поле расцветет, как только мины будут найдены и обезврежены нашими руками, стараниями и верой: в первую очередь верой в себя, в свои силы и в свои возможности. Эту истину Шахназ Сайн передала простыми жизненными стихами и цитатами. Придет время, когда расцветет сломленное сердце, и распустятся цветы на оголенных ветках души человека, и поднимется солнце над когда-то минным полем, отныне покрытым бескрайними садами красных роз. Книга сопровождается авторскими иллюстрациями, созданными Шахназ специально для этого издания
Шилдс Бриана: Заклинатель костей;Бриана Шилдс;114 ₽;114 ₽;1. Роман, за который бились крупнейшие издательства России. Выигран аукцион на издание дилогии — «Заклинатель костей» и «Похититель костей».
Д'Апри Суини Синтия: Хорошая компания;Синтия Д'Апри Суини;114 ₽;114 ₽;«Хорошая компания» повествует об отношениях, которые мы строим всю жизнь – тех, что одновременно ранят и исцеляют нас.
Бурден Франсуаза: Чужой выбор;Франсуаза Бурден;114 ₽;114 ₽;«Ревность, любовь и снежная зима, что отрезала их от остального мира».
Уолш Хлоя: Удержать 13-го;Уолш Хлоя;794 ₽;794 ₽;Удержать сложнее, чем завоевать, и знают об этом не только спортсмены. Новой ученице удалось покорить главную знаменитость Томмен-колледжа — восходящую звезду регби Джонни Кавану. Но можно ли удержать рядом парня, для которого на первом месте всегда была карьера? Восстановившись после операции, Джонни вновь приступает к тренировкам. Его мечта — играть за национальную сборную. Он готовился к этому с детства, однако, кажется, все равно недооценил ответственность и нагрузки. К тому же на другой чаше весов — девушка с полуночно-синими глазами… Жизнь Шаннон Линч никогда не была спокойной, но теперь ситуация накалилась до предела. Конфликты в семье не прекращаются, а возвращение старшего брата, покинувшего родных несколько лет назад, лишь ухудшает положение. Шаннон ищет спасения у Джонни и все больше сближается с ним, однако она понимает: скоро важные игры, а значит, неизбежно расставание… Впервые на русском!
Семенова М.: Братья. Книга 3. Завтрашний царь. Том 2;Миры Марии Семеновой;694 ₽;694 ₽;Долгожданное продолжение истории о братьях, начатой романами «Тайный воин» и «Царский витязь»! Второй десяток лет длится зима, постигшая мир после космической катастрофы. Всё свирепее метели, всё беспощаднее морозы, но люди живут, путешествуют, отстаивают каждый свою правду… Линии судеб героев неуклонно указывают на город Шегардай. Сюда прибывает официальный престолонаследник: успешное правление в городе, где когда-то властвовал его отец, должно открыть юноше дорогу к царскому трону. На праздник стекаются самые разные люди, в том числе потешники-скоморохи. Кто заподозрит, что молодой витязь, охраняющий лицедеев, тоже имеет право на державный венец? Хромой раб, творец удивительных песен, решается на побег. За стенами Шегардая у него остались недоделанные дела, неотданные долги… А бесконечными морозными пустошами бегут на лыжах два тайных воина. Они везут на север запечатанное письмо. Быть может, в нём приказ о расправе над семьёй их сгинувшего наставника?
Мур Лиз: Алая река;Лиз Мур;103 ₽;103 ₽;БЕСТСЕЛЛЕР NEW YORK TIMES
Дженнифер Робсон: Письма из Лондона;Дженнифер Робсон;114 ₽;114 ₽;Журналистка из Нью-Йорка Руби Саттон приезжает в Лондон в 1940 году. Для нее это карьерный шанс — непредвзято освещать войну в Европе. Руби сталкивается с неоднозначной реакцией — она иностранка, женщина, и далеко не всех устраивает ее присутствие в гуще событий.
Арден Лия: Во главе кошмаров;Лия Арден;662 ₽;662 ₽;За один вечер Кассия лишилась дома, выбора и прошлой жизни. Теперь ее место в Палагеде. И пока глава Дома Раздора просит помощи, другие шесть архонтов видят в ней досадную помеху, которая в состоянии разрушить их планы на обретение желанного могущества. Одновременно с этим Микель оказывается втянут в гущу политических событий, где пытается склонить царей к перемирию между мирами и разобраться, насколько реально пророчество сивилл о гибели всей Даории от рук Кассии.
Макнил Элизабет: Цирк чудес;Элизабет Макнил;103 ₽;103 ₽;Новый роман от автора «Мастерской кукол»!
Джексон Тиффани: Никто не видел Мандей;Тиффани Джексон;103 ₽;103 ₽;Это история исчезновения моей лучшей подруги. История того, как никто, кроме меня, не заметил этого исчезновения. И как никому не было до этого дела, пока ее не нашли… год спустя.
Яррос Ребекка: Четвертое крыло;Яррос Ребекка;999 ₽;999 ₽;«Четвертое крыло» - абсолютный бестселлер молодежной литературы, мгновенно ворвавшийся в ТОП-5 самых продаваемых книг на Amazon среди всех категорий. Роман Ребекки Яррос вышел в мае 2023 года и взорвал чарты книжных рейтингов, получил более 140 000 оценок на GoodReads за месяц продаж и приобрел миллионы поклонников.
Рот Вероника: Судьба;Рот Вероника;91 ₽;91 ₽;Их судьбы определены с рождения. Быть предателем. Победить в войне. Пасть от руки тирана… Но что, если судьба — проклятие? И можно ли действовать ей вопреки?
Тунсю Мосян: Благословение небожителей. Том 6;Тунсю Мосян;1 250 ₽;1 250 ₽;СКАЗАТЬ ПО ПРАВДЕ, В ЭТОМ МИРЕ НЕТ БОГОВ.
Роберт Джордан: Новая весна;Роберт Джордан;928 ₽;928 ₽;Разгар Айильской войны. Айильцы впервые за многие годы пересекли Хребет Мира, отделяющий их родину от остальных стран континента. Цель вторжения — покарать короля Кайриэна за святотатство. У стен Тар Валона, оплота могущественных Айз Седай, разыгрывается кровавая битва. Одна из Айз Седай, обладающая способностью Предсказания, сообщает о рождении на склонах Драконовой горы младенца, которому суждено стать Драконом Возрожденным, будущим сокрушителем власти Темного. Эта новость пока известна только Престолу Амерлин и двум девушкам, Морейн и Суан, свидетельницам откровения предсказательницы. Теперь их задача — во что бы то ни стало найти младенца, пока силы Темного не сделали это раньше… Роман предваряет знаменитую эпопею «Колесо Времени», описывая события, произошедшие за двадцать лет до начала тех, о которых повествуют основные романы цикла.
Киз Дэниел: Элджернон, Чарли и я;Дэниел Киз;103 ₽;103 ₽;Дэниел Киз — знаменитый американский писатель, исследователь глубин человеческого разума, которому удалось как никому другому раскрыть перед читателем тайны личности и психологии. «Элджернон, Чарли и я» — история его жизни, творческого пути, история возникновения героев, которые теперь стали известны всему миру. Увлекательное путешествие писателя, столкнувшегося с множеством препятствий, которые стояли между ним и литературной карьерой, захватывает с первых строк. В этом романе каждый сможет узнать, какие жизненные впечатления, знакомства, случайности и привели в конце концов Киза к созданию одного из самых известных романов XX века «Цветы для Элджернона».
Дашкевич Виктор: Императорский Див. Колдун Российской империи;Виктор Дашкевич;642 ₽;642 ₽;Вторая книга цикла о расследованиях графа Аверина.
Уолш Хлоя: Зацепить 13-го;Уолш Хлоя;794 ₽;794 ₽;Ее жизнь — борьба. Борьба за каждую спокойную минуту без насмешек и издевательств. Его жизнь — борьба. Борьба с соперниками на поле и с болью, о которой никто не должен знать. На первый взгляд, Шаннон и Джонни настолько разные, насколько вообще можно себе представить. Жертва школьного буллинга и домашнего насилия, Шаннон никогда не чувствует себя в безопасности и хочет только одного — стать невидимкой. Перспективный спортсмен и любимый сын обеспеченных родителей, Джонни пользуется в школе особыми привилегиями и привык ко всеобщему вниманию и восхищению. Их дороги никогда бы не пересеклись, если бы не несчастный случай. А может, наоборот — счастливый?.. Впервые на русском!
Сандерсон Брендон: Юми и укротитель кошмаров;Брендон Сандерсон;1 413 ₽;1 413 ₽;В стране, где родилась Юми, земля под ногами раскалена, а растения парят в воздухе. Юми — повелительница духов, ее удел — самоотверженное служение, каждый ее день состоит из множества утонченных ритуалов. Город, где живет Никаро, окружен таинственной Пеленой, из которой приходят кошмары — чудовищные сущности, питающиеся людскими переживаниями. Никаро — художник, способный с помощью живописи укрощать кошмары, лишать их убийственной силы. Однажды духи обращаются к Юми с просьбой освободить их, обещая, что в этом ей поможет герой. Но не предупреждают, что с героем — Никаро — придется обменяться телами! И как в омут с головой броситься в чужую реальность, полную загадок, тайн и чудес. С цветными иллюстрациями фэнтезийной художницы Алии Чэнь! Впервые на русском!
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;906 ₽;906 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Ускова О.: Раша;Трансгуманизм fiction;799 ₽;799 ₽;Иерусалим-Москва-Донецк - огненная ось нашего времени. В этом треугольнике проходят глобальное обновление весь реальный мир и герои романа, из их становления и соткана эта книга. Любовь и Предательство, Искушение деньгами и Властью, Право на смерть и Право на жизнь. Что перед нами - публицистика с элементами мистики или фэнтези про мир, вооруженный воюющим Искусственным Интеллектом и занавешенный документальными событиями? Всё, что описано в книге, происходит сегодня непосредственно с каждым из нас. И всем приходится отвечать на вопросы: - кто я? - с кем я? - где моя Родина? - зачем я на этой Земле? Герои книги нашли свои ответы... "О чём-то из сегодняшних событий мы постараемся забыть в будущем, но роман «Раша» напомнит, какими мы были, как думали, чего боялись, на что надеялись. В этом его главная ценность."
